id_sede,nom_seccion
ETRIA,Sección  de  DDHH  y  Género
EITAL,"Sección  de  Diplomacia  Pública, Comunicación  y  Prensa"
EALEM,Sección  de  Prensa
EHAIT,Sección  de  Prensa
EMEXI,Sección  de  Prensa
EMOZA,Sección  de  Prensa  y  Difusión
EFRUS,Sección  de  Prensa  y  Difusión
EITAL,Sección  de  Promoción  Comercial  y  Turismo
CSHAN,Sección  Deportiva
EPAKI,Sección  Económica
EJAPO,Sección  Económica  -  Comercial  
EESPA,Sección  Económica  -  Comercial
ELBNO,Sección  Económica  -  Comercial  e  Inversiones
ELBIA,Sección  Económica  Comercial
EIRLA,Sección  Económica  y    Comercial
ESERB,Sección  Económica  y  Comercial
EBARB,Sección  Económica  y  Comercial
ECEUR,Sección  Económica  y  Comercial
CGMUM,Sección  Económica  y  Comercial
EGREC,Sección  Económica  y  Comercial
CRIOJ,Sección  Económica  y  Comercial
EETIO,Sección  Económica  y  Comercial
EALEM,Sección  Económica  y  Comercial
ECHIN,Sección  Económica  y  Comercial
ENORU,Sección  Económica  y  Comercial
ECORE,Sección  Económica  y  Comercial
EFRUS,Sección  Económica  y  Comercial
EARGE,Sección  Económica  y  Comercial
EECUA,Sección  Económica  y  Comercial
EDOMI,Sección  Económica  y  Comercial
CSCRS,Sección  Económica  y  Comercial
ERUMA,Sección  Económica  y  Comercial
EMARR,Sección  Económica  y  Comercial
EEEUU,Sección  Económica  y  Comercial
EKUWA,Sección  Económica  y  Comercial
EVENE,Sección  Económica  y  Comercial
EARME,Sección  Económica  y  Comercial
ENZEL,Sección  Económica  y  Comercial
EHAIT,Sección  Económica  y  Comercial
CNYOR,Sección  Económica  y  Comercial
EANGO,Sección  Económica  y  Comercial
ECHES,Sección  Económica  y  Comercial
ETURQ,Sección  Económica  y  Comercial
CCHIC,Sección  Económica  y  Comercial
ENIGE,Sección  Económica  y  Comercial
EBELG,Sección  Económica  y  Comercial
EPERU,Sección  Económica  y  Comercial  
EJAMA,Sección  Económica  y  Comercial
ESAFR,Sección  Económica  y  Comercial
CVIGO,Sección  Económica  y  Comercial
EINDI,Sección  Económica  y  Comercial
CFRAN,Sección  Económica  y  Comercial
CRECI,Sección  Económica  y  Comercial
ECUBA,Sección  Económica  y  Comercial
ETUNE,Sección  Económica  y  Comercial
EMSIA,Sección  Económica  y  Comercial
CTORO,SECCION  ECONOMICA  Y  COMERCIAL
EISIA,Sección  Económica  y  Comercial
CSHAN,Sección  Económica  y  Comercial
EHILE,Sección  Económica  y  Comercial
EGUAT,Sección  Económica  y  Comercial
ERICA,Sección  Económica  y  Comercial
ESURI,Sección  Económica  y  Comercial
EAZER,Sección  Económica  y  Comercial
ETAIL,Sección  Económica  y  Comercial
EPNMA,Sección  Económica  y  Comercial
,Sección  Económica  y  Comercial
EUCRA,Sección  Económica  y  Comercial
EMOZA,Sección  Económica  y  Comercial  
EPBAJ,"Sección  Económica  y  Comercial, Prensa  y  Turismo."
EITAL,Sección  Económica  y  Promoción  de  Inversiones
CHONG,Sección  Económica-Comercial
ECANA,"Sección  Económica-Comercial, Cooperación  e  Innovación"
ESING,"Sección  Económica, Comercial  y  de  Inversiones"
EVIET,"Sección  Económica, Comercial  y  de  Inversiones"
ESUIZ,"Sección  Económica, Comercial  y  de  Inversiones"
EEARB,"Sección  Económica, Comercial  y  de  Inversiones  /  Oficina  Comercial  en  Dubai"
ESUEC,"Sección  Económica, Comercial  y  de  Promoción  de  Inversiones"
ERUNI,"Sección  Económica, Comercial  y  Turismo"
ECOLO,"Sección  Económica, Comercial  y  Turismo"
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo."
EFRAN,"Sección  Económica, Comercial, Promoción  e  Inversiones"
EISRA,Sección  Económico-Comercial  y  de  Cooperación
EBRAS,"Sección  Económico-Comercial, Inversiones  y  Turismo"
EECUA,Sección  Educación  y  Cooperación
CSHAN,Sección  Educativa
EHOND,Sección  Encargado  Cancillería
EFRUS,"Sección  Energía, Ciencia  y  Tecnología"
ECHIN,Sección  Inversiones
EHILE,Sección  Jurídica
EFRUS,Sección  Malvinas  Antártida  y  Atlántico  Sur
CNYOR,Sección  Notarial
EFRAN,Sección  Organismos  Internacionales  Económicos
EPERU,Sección  Política  
EETIO,Sección  Política
EALEM,Sección  Política
ECHES,Sección  Política  
ECHIN,Sección  Política
ESUIZ,Sección  Política
EARGE,Sección  Política
EMSIA,Sección  Política
EECUA,Sección  Política
EAUST,Sección  Política
EEARB,Sección  Política
ECORE,Sección  Política
EEEUU,Sección  Política
EVENE,Sección  Política
EEGIP,Sección  Política
EUNGR,Sección  Política
EHAIT,Sección  Política
ELBNO,Sección  Política
EANGO,Sección  Política
EMEXI,Sección  Política
ENIGE,Sección  Política
EQATR,Sección  Política
EMARR,Sección  Política
EURUG,Sección  Política
EFRUS,Sección  Política
EIRLA,Sección  Política
EISIA,Sección  Política
ETUNE,Sección  Política
ECEUR,Sección  Política
EHILE,Sección  Política
ETAIL,Sección  Política
ESURI,Sección  Política
EITAL,Sección  Política
EAZER,Sección  Política
EUCRA,Sección  Política
EINDI,Sección  Política
EBELG,Sección  Política
EMOZA,Sección  Política
ERUNI,Seccion  Politica
ENZEL,Sección  Política
ESUEC,Sección  Política
EBARB,Sección  Política
EVIET,Sección  Política  y  Cooperación
EESPA,Sección  Política  y  Cooperación  Jurídica
